TA,TA code,Measure,Age group,Rate,Rate - 95% CI Lower,Rate - 95% CI Upper,Estimate,Estimate - 95% CI Lower,Estimate - 95% CI Upper,TA population,Method
Dunedin city,71,Physical,80+,72,60,87,3123,2619,3732,4321,SDE
Dunedin city,71,Psychological,80+,5,2,8,198,126,309,4321,SDE
Dunedin city,71,Vision,80+,18,14,23,780,621,981,4321,SDE
Far North district,1,Hearing,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Far North district,1,Overall,0 to 4,8,6,10,339,273,438,4498,SDE
Far North district,1,Physical,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Far North district,1,Psychological,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Far North district,1,Vision,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Far North district,1,Hearing,10 to 14,2,1,3,117,87,141,4848,SDE
Far North district,1,Overall,10 to 14,18,15,23,894,750,1095,4848,SDE
Far North district,1,Physical,10 to 14,3,2,6,159,108,243,4848,SDE
Far North district,1,Psychological,10 to 14,7,4,9,324,231,435,4848,SDE
Far North district,1,Vision,10 to 14,1,0,2,57,39,84,4848,SDE
Far North district,1,Hearing,15 to 19,3,2,4,114,84,141,3928,SDE
Far North district,1,Overall,15 to 19,20,16,24,765,639,942,3928,SDE
Far North district,1,Physical,15 to 19,6,3,9,219,156,330,3928,SDE
Far North district,1,Psychological,15 to 19,6,4,9,240,171,327,3928,SDE
Far North district,1,Vision,15 to 19,1,0,3,54,33,81,3928,SDE
Far North district,1,Hearing,20 to 24,5,3,6,126,99,144,2658,SDE
Far North district,1,Overall,20 to 24,21,17,26,555,456,684,2658,SDE
Far North district,1,Physical,20 to 24,9,6,14,246,174,372,2658,SDE
Far North district,1,Psychological,20 to 24,6,4,9,171,120,234,2658,SDE
Far North district,1,Vision,20 to 24,2,1,4,60,39,90,2658,SDE
Far North district,1,Hearing,25 to 29,5,4,6,117,96,144,2399,SDE
Far North district,1,Overall,25 to 29,20,16,26,489,402,609,2399,SDE
Far North district,1,Physical,25 to 29,9,6,14,225,156,333,2399,SDE
Far North district,1,Psychological,25 to 29,7,4,10,159,108,222,2399,SDE
Far North district,1,Vision,25 to 29,3,1,4,60,39,96,2399,SDE
Far North district,1,Hearing,30 to 34,5,3,6,114,90,132,2411,SDE
Far North district,1,Overall,30 to 34,19,16,24,468,393,564,2411,SDE
Far North district,1,Physical,30 to 34,10,7,15,234,171,339,2411,SDE
Far North district,1,Psychological,30 to 34,7,4,10,162,114,219,2411,SDE
Far North district,1,Vision,30 to 34,2,1,3,45,27,63,2411,SDE
Far North district,1,Hearing,35 to 39,6,4,7,165,135,189,2974,SDE
Far North district,1,Overall,35 to 39,20,16,25,600,495,732,2974,SDE
Far North district,1,Physical,35 to 39,12,8,17,345,258,489,2974,SDE
Far North district,1,Psychological,35 to 39,7,4,10,207,144,279,2974,SDE
Far North district,1,Vision,35 to 39,2,1,3,51,33,78,2974,SDE
Far North district,1,Hearing,40 to 44,7,6,9,264,222,315,3700,SDE
Far North district,1,Overall,40 to 44,24,20,30,906,771,1089,3700,SDE
Far North district,1,Physical,40 to 44,14,10,20,522,396,729,3700,SDE
Far North district,1,Psychological,40 to 44,7,5,10,273,192,366,3700,SDE
Far North district,1,Vision,40 to 44,3,2,5,120,90,162,3700,SDE
Far North district,1,Hearing,45 to 49,10,8,13,393,321,477,3916,SDE
Far North district,1,Overall,45 to 49,31,26,38,1209,1029,1455,3916,SDE
Far North district,1,Physical,45 to 49,18,14,26,717,555,981,3916,SDE
Far North district,1,Psychological,45 to 49,8,5,11,324,231,429,3916,SDE
Far North district,1,Vision,45 to 49,6,4,9,249,192,327,3916,SDE
Far North district,1,Hearing,5 to 9,2,1,4,114,93,144,4713,SDE
Far North district,1,Overall,5 to 9,15,12,19,693,573,858,4713,SDE
Far North district,1,Physical,5 to 9,2,1,4,117,78,174,4713,SDE
Far North district,1,Psychological,5 to 9,5,3,7,222,159,300,4713,SDE
Far North district,1,Vision,5 to 9,1,0,2,54,36,78,4713,SDE
Far North district,1,Hearing,50 to 54,13,10,16,573,465,660,4325,SDE
Far North district,1,Overall,50 to 54,35,30,42,1533,1338,1806,4325,SDE
Far North district,1,Physical,50 to 54,23,18,32,996,780,1344,4325,SDE
Far North district,1,Psychological,50 to 54,8,6,12,363,261,483,4325,SDE
Far North district,1,Vision,50 to 54,8,6,10,336,267,426,4325,SDE
Far North district,1,Hearing,55 to 59,15,12,18,627,507,726,4150,SDE
Far North district,1,Overall,55 to 59,38,33,45,1575,1374,1845,4150,SDE
Far North district,1,Physical,55 to 59,27,21,36,1110,879,1485,4150,SDE
Far North district,1,Psychological,55 to 59,7,5,10,297,210,396,4150,SDE
Far North district,1,Vision,55 to 59,7,5,9,294,228,372,4150,SDE
Far North district,1,Hearing,60 to 64,18,15,22,744,636,870,4086,SDE
Far North district,1,Overall,60 to 64,42,36,49,1713,1500,1986,4086,SDE
Far North district,1,Physical,60 to 64,32,25,42,1293,1035,1698,4086,SDE
Far North district,1,Psychological,60 to 64,6,4,8,237,168,318,4086,SDE
Far North district,1,Vision,60 to 64,7,5,9,270,210,339,4086,SDE
Far North district,1,Hearing,65 to 69,23,19,27,813,711,951,3604,SDE
Far North district,1,Overall,65 to 69,48,42,56,1737,1524,1986,3604,SDE
Far North district,1,Physical,65 to 69,38,30,50,1383,1113,1794,3604,SDE
Far North district,1,Psychological,65 to 69,5,3,7,171,117,240,3604,SDE
Far North district,1,Vision,65 to 69,7,5,9,246,192,309,3604,SDE
Far North district,1,Hearing,70 to 74,28,24,34,750,669,909,2706,SDE
Far North district,1,Overall,70 to 74,56,50,64,1527,1353,1731,2706,SDE
Far North district,1,Physical,70 to 74,47,38,61,1272,1029,1626,2706,SDE
Far North district,1,Psychological,70 to 74,4,2,6,114,75,159,2706,SDE
Far North district,1,Vision,70 to 74,8,6,11,222,171,276,2706,SDE
Far North district,1,Hearing,75 to 79,33,29,40,561,501,672,1709,SDE
Far North district,1,Overall,75 to 79,67,59,75,1140,1023,1278,1709,SDE
Far North district,1,Physical,75 to 79,59,48,73,1002,825,1245,1709,SDE
Far North district,1,Psychological,75 to 79,4,2,6,69,45,99,1709,SDE
Far North district,1,Vision,75 to 79,11,8,14,183,144,228,1709,SDE
Far North district,1,Hearing,80+,44,38,54,813,717,993,1849,SDE
Far North district,1,Overall,80+,80,72,89,1476,1335,1629,1849,SDE
Far North district,1,Physical,80+,75,62,90,1380,1149,1662,1849,SDE
Far North district,1,Psychological,80+,4,2,7,72,45,114,1849,SDE
Far North district,1,Vision,80+,18,14,23,336,261,420,1849,SDE
Gisborne district,28,Hearing,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Gisborne district,28,Overall,0 to 4,7,5,10,291,231,363,3975,SDE
Gisborne district,28,Physical,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Gisborne district,28,Psychological,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Gisborne district,28,Vision,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Gisborne district,28,Hearing,10 to 14,2,1,3,75,51,105,4097,SDE
Gisborne district,28,Overall,10 to 14,19,15,22,762,642,903,4097,SDE
Gisborne district,28,Physical,10 to 14,3,2,5,123,87,177,4097,SDE
Gisborne district,28,Psychological,10 to 14,8,5,11,321,243,432,4097,SDE
Gisborne district,28,Vision,10 to 14,1,0,2,48,33,75,4097,SDE
Gisborne district,28,Hearing,15 to 19,3,2,4,90,66,114,3367,SDE
Gisborne district,28,Overall,15 to 19,20,16,24,666,555,792,3367,SDE
Gisborne district,28,Physical,15 to 19,5,3,8,174,126,252,3367,SDE
Gisborne district,28,Psychological,15 to 19,7,5,10,240,177,321,3367,SDE
Gisborne district,28,Vision,15 to 19,2,0,3,51,33,78,3367,SDE
Gisborne district,28,Hearing,20 to 24,4,3,6,114,84,141,2739,SDE
Gisborne district,28,Overall,20 to 24,21,16,25,564,462,681,2739,SDE
Gisborne district,28,Physical,20 to 24,8,6,12,228,162,321,2739,SDE
Gisborne district,28,Psychological,20 to 24,7,5,10,198,144,270,2739,SDE
Gisborne district,28,Vision,20 to 24,2,1,4,66,42,99,2739,SDE
Gisborne district,28,Hearing,25 to 29,4,2,6,105,72,144,2533,SDE
Gisborne district,28,Overall,25 to 29,19,16,24,492,405,603,2533,SDE
Gisborne district,28,Physical,25 to 29,8,5,12,204,144,285,2533,SDE
Gisborne district,28,Psychological,25 to 29,7,5,10,180,126,252,2533,SDE
Gisborne district,28,Vision,25 to 29,2,1,4,63,39,99,2533,SDE
Gisborne district,28,Hearing,30 to 34,4,2,6,102,60,138,2531,SDE
Gisborne district,28,Overall,30 to 34,18,15,22,462,384,549,2531,SDE
Gisborne district,28,Physical,30 to 34,8,6,12,213,159,291,2531,SDE
Gisborne district,28,Psychological,30 to 34,7,5,10,180,132,246,2531,SDE
Gisborne district,28,Vision,30 to 34,2,1,3,45,30,69,2531,SDE
Gisborne district,28,Hearing,35 to 39,4,3,7,123,84,180,2795,SDE
Gisborne district,28,Overall,35 to 39,19,15,23,525,435,630,2795,SDE
Gisborne district,28,Physical,35 to 39,10,7,14,276,207,375,2795,SDE
Gisborne district,28,Psychological,35 to 39,7,5,10,204,150,279,2795,SDE
Gisborne district,28,Vision,35 to 39,2,1,3,45,27,69,2795,SDE
Gisborne district,28,Hearing,40 to 44,6,4,9,204,150,261,3188,SDE
Gisborne district,28,Overall,40 to 44,24,20,29,777,660,912,3188,SDE
Gisborne district,28,Physical,40 to 44,13,10,18,423,324,558,3188,SDE
Gisborne district,28,Psychological,40 to 44,8,6,12,267,201,360,3188,SDE
Gisborne district,28,Vision,40 to 44,3,2,5,108,81,144,3188,SDE
Gisborne district,28,Hearing,45 to 49,9,6,11,252,195,312,2897,SDE
Gisborne district,28,Overall,45 to 49,29,24,35,855,720,1011,2897,SDE
Gisborne district,28,Physical,45 to 49,16,12,22,468,366,612,2897,SDE
Gisborne district,28,Psychological,45 to 49,9,6,12,252,189,339,2897,SDE
Gisborne district,28,Vision,45 to 49,6,4,9,189,141,252,2897,SDE
Gisborne district,28,Hearing,5 to 9,2,1,3,78,57,108,4204,SDE
Gisborne district,28,Overall,5 to 9,15,12,18,621,519,753,4204,SDE
Gisborne district,28,Physical,5 to 9,2,1,4,99,72,144,4204,SDE
Gisborne district,28,Psychological,5 to 9,6,4,8,234,174,318,4204,SDE
Gisborne district,28,Vision,5 to 9,1,0,2,51,33,75,4204,SDE
Gisborne district,28,Hearing,50 to 54,12,8,15,354,267,435,3071,SDE
Gisborne district,28,Overall,50 to 54,35,29,40,1059,915,1224,3071,SDE
Gisborne district,28,Physical,50 to 54,21,16,28,651,513,831,3071,SDE
Gisborne district,28,Psychological,50 to 54,9,6,13,279,210,375,3071,SDE
Gisborne district,28,Vision,50 to 54,8,6,11,249,195,318,3071,SDE
Gisborne district,28,Hearing,55 to 59,13,10,17,378,282,459,2831,SDE
Gisborne district,28,Overall,55 to 59,37,32,43,1047,909,1206,2831,SDE
Gisborne district,28,Physical,55 to 59,25,19,32,696,555,885,2831,SDE
Gisborne district,28,Psychological,55 to 59,8,5,11,219,162,300,2831,SDE
Gisborne district,28,Vision,55 to 59,7,5,10,207,162,264,2831,SDE
Gisborne district,28,Hearing,60 to 64,17,13,21,435,339,531,2534,SDE
Gisborne district,28,Overall,60 to 64,43,37,49,1089,960,1239,2534,SDE
Gisborne district,28,Physical,60 to 64,31,25,40,792,639,996,2534,SDE
Gisborne district,28,Psychological,60 to 64,7,5,10,174,129,234,2534,SDE
Gisborne district,28,Vision,60 to 64,7,5,10,183,144,231,2534,SDE
Gisborne district,28,Hearing,65 to 69,22,17,26,441,354,525,2039,SDE
Gisborne district,28,Overall,65 to 69,48,42,55,984,867,1116,2039,SDE
Gisborne district,28,Physical,65 to 69,37,30,47,762,612,945,2039,SDE
Gisborne district,28,Psychological,65 to 69,5,3,8,111,78,156,2039,SDE
Gisborne district,28,Vision,65 to 69,8,5,10,153,120,195,2039,SDE
Gisborne district,28,Hearing,70 to 74,26,20,31,399,315,474,1545,SDE
Gisborne district,28,Overall,70 to 74,58,51,65,891,795,1005,1545,SDE
Gisborne district,28,Physical,70 to 74,48,38,59,735,597,903,1545,SDE
Gisborne district,28,Psychological,70 to 74,5,3,8,78,54,111,1545,SDE
Gisborne district,28,Vision,70 to 74,9,6,12,135,105,174,1545,SDE
Gisborne district,28,Hearing,75 to 79,32,25,37,336,267,390,1058,SDE
Gisborne district,28,Overall,75 to 79,67,60,75,705,633,786,1058,SDE
Gisborne district,28,Physical,75 to 79,57,47,70,609,501,738,1058,SDE
Gisborne district,28,Psychological,75 to 79,5,3,7,48,33,69,1058,SDE
Gisborne district,28,Vision,75 to 79,11,8,15,117,90,150,1058,SDE
Gisborne district,28,Hearing,80+,41,32,47,543,435,618,1321,SDE
Gisborne district,28,Overall,80+,80,72,88,1053,951,1158,1321,SDE
Gisborne district,28,Physical,80+,73,61,88,966,807,1155,1321,SDE
Gisborne district,28,Psychological,80+,5,2,8,60,39,96,1321,SDE
Gisborne district,28,Vision,80+,19,15,24,252,198,315,1321,SDE
Gore district,74,Hearing,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Gore district,74,Overall,0 to 4,6,4,8,48,36,63,846,SDE
Gore district,74,Physical,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Gore district,74,Psychological,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Gore district,74,Vision,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Gore district,74,Hearing,10 to 14,2,1,3,15,12,21,867,SDE
Gore district,74,Overall,10 to 14,14,11,17,120,96,147,867,SDE
Gore district,74,Physical,10 to 14,2,1,4,18,12,27,867,SDE
Gore district,74,Psychological,10 to 14,5,3,8,48,33,63,867,SDE
Gore district,74,Vision,10 to 14,1,0,2,6,3,12,867,SDE
Gore district,74,Hearing,15 to 19,2,1,4,21,15,30,821,SDE
Gore district,74,Overall,15 to 19,16,12,20,132,105,162,821,SDE
Gore district,74,Physical,15 to 19,4,2,6,33,21,48,821,SDE
Gore district,74,Psychological,15 to 19,6,4,8,45,30,63,821,SDE
Gore district,74,Vision,15 to 19,1,0,2,9,3,15,821,SDE
Gore district,74,Hearing,20 to 24,4,2,6,24,15,36,660,SDE
Gore district,74,Overall,20 to 24,16,12,20,105,84,132,660,SDE
Gore district,74,Physical,20 to 24,6,4,9,42,27,60,660,SDE
Gore district,74,Psychological,20 to 24,6,3,8,36,24,51,660,SDE
Gore district,74,Vision,20 to 24,2,1,3,12,6,18,660,SDE
Gore district,74,Hearing,25 to 29,4,3,6,24,18,33,568,SDE
Gore district,74,Overall,25 to 29,16,13,21,93,75,114,568,SDE
Gore district,74,Physical,25 to 29,7,4,10,36,24,54,568,SDE
Gore district,74,Psychological,25 to 29,6,4,9,33,21,48,568,SDE
Gore district,74,Vision,25 to 29,2,1,4,12,6,18,568,SDE
Gore district,74,Hearing,30 to 34,3,2,5,21,15,30,644,SDE
Gore district,74,Overall,30 to 34,14,11,18,93,72,114,644,SDE
Gore district,74,Physical,30 to 34,6,4,9,42,27,57,644,SDE
Gore district,74,Psychological,30 to 34,5,3,8,36,24,48,644,SDE
Gore district,74,Vision,30 to 34,1,0,3,9,6,15,644,SDE
Gore district,74,Hearing,35 to 39,4,3,6,27,18,39,686,SDE
Gore district,74,Overall,35 to 39,15,12,19,105,81,129,686,SDE
Gore district,74,Physical,35 to 39,8,5,11,54,39,75,686,SDE
Gore district,74,Psychological,35 to 39,6,3,8,39,27,54,686,SDE
Gore district,74,Vision,35 to 39,1,0,3,9,3,15,686,SDE
Gore district,74,Hearing,40 to 44,6,4,8,45,36,63,799,SDE
Gore district,74,Overall,40 to 44,18,15,22,147,120,177,799,SDE
Gore district,74,Physical,40 to 44,9,6,13,75,54,102,799,SDE
Gore district,74,Psychological,40 to 44,6,4,8,45,30,63,799,SDE
Gore district,74,Vision,40 to 44,3,1,4,21,15,30,799,SDE
Gore district,74,Hearing,45 to 49,8,6,10,72,60,90,913,SDE
Gore district,74,Overall,45 to 49,23,19,28,213,177,255,913,SDE
Gore district,74,Physical,45 to 49,12,9,17,111,84,150,913,SDE
Gore district,74,Psychological,45 to 49,6,4,9,57,39,81,913,SDE
Gore district,74,Vision,45 to 49,5,3,7,45,33,60,913,SDE
Gore district,74,Hearing,5 to 9,2,1,3,15,9,21,865,SDE
Gore district,74,Overall,5 to 9,12,9,15,102,81,126,865,SDE
Gore district,74,Physical,5 to 9,2,1,3,15,9,24,865,SDE
Gore district,74,Psychological,5 to 9,4,3,6,36,24,51,865,SDE
Gore district,74,Vision,5 to 9,1,0,2,9,3,15,865,SDE
Gore district,74,Hearing,50 to 54,11,9,14,108,90,138,984,SDE
Gore district,74,Overall,50 to 54,29,24,34,282,237,330,984,SDE
Gore district,74,Physical,50 to 54,17,13,23,168,129,219,984,SDE
Gore district,74,Psychological,50 to 54,7,5,10,69,48,93,984,SDE
Gore district,74,Vision,50 to 54,6,4,8,60,45,78,984,SDE
Gore district,74,Hearing,55 to 59,13,10,17,108,87,141,841,SDE
Gore district,74,Overall,55 to 59,31,26,36,258,219,303,841,SDE
Gore district,74,Physical,55 to 59,20,15,26,168,129,216,841,SDE
Gore district,74,Psychological,55 to 59,6,4,9,51,33,69,841,SDE
Gore district,74,Vision,55 to 59,6,4,8,45,36,60,841,SDE
Gore district,74,Hearing,60 to 64,18,15,23,123,102,153,685,SDE
Gore district,74,Overall,60 to 64,36,31,42,249,210,288,685,SDE
Gore district,74,Physical,60 to 64,26,20,33,177,135,222,685,SDE
Gore district,74,Psychological,60 to 64,5,3,7,36,24,48,685,SDE
Gore district,74,Vision,60 to 64,6,4,8,39,27,51,685,SDE
Gore district,74,Hearing,65 to 69,20,17,26,123,108,159,611,SDE
Gore district,74,Overall,65 to 69,42,36,49,258,222,300,611,SDE
Gore district,74,Physical,65 to 69,33,25,41,198,156,252,611,SDE
Gore district,74,Psychological,65 to 69,4,2,6,27,15,36,611,SDE
Gore district,74,Vision,65 to 69,6,4,8,36,27,51,611,SDE
Gore district,74,Hearing,70 to 74,25,22,32,132,117,168,520,SDE
Gore district,74,Overall,70 to 74,52,45,59,270,234,309,520,SDE
Gore district,74,Physical,70 to 74,42,34,53,219,177,273,520,SDE
Gore district,74,Psychological,70 to 74,4,2,6,21,12,30,520,SDE
Gore district,74,Vision,70 to 74,7,5,10,39,27,51,520,SDE
Gore district,74,Hearing,75 to 79,31,27,39,132,114,165,423,SDE
Gore district,74,Overall,75 to 79,62,54,70,261,228,297,423,SDE
Gore district,74,Physical,75 to 79,54,43,66,228,183,279,423,SDE
Gore district,74,Psychological,75 to 79,4,2,6,18,9,24,423,SDE
Gore district,74,Vision,75 to 79,10,7,13,39,30,54,423,SDE
Gore district,74,Hearing,80+,45,38,54,252,216,306,568,SDE
Gore district,74,Overall,80+,77,68,86,438,390,486,568,SDE
Gore district,74,Physical,80+,71,58,86,405,330,486,568,SDE
Gore district,74,Psychological,80+,4,2,7,21,12,36,568,SDE
Gore district,74,Vision,80+,18,14,24,105,81,135,568,SDE
Grey district,56,Hearing,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Grey district,56,Overall,0 to 4,6,4,8,48,36,63,865,SDE
Grey district,56,Physical,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Grey district,56,Psychological,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Grey district,56,Vision,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Grey district,56,Hearing,10 to 14,2,1,3,15,9,21,863,SDE
Grey district,56,Overall,10 to 14,16,12,19,135,111,165,863,SDE
Grey district,56,Physical,10 to 14,2,1,4,21,12,30,863,SDE
Grey district,56,Psychological,10 to 14,6,4,9,54,39,75,863,SDE
Grey district,56,Vision,10 to 14,1,0,2,9,3,12,863,SDE
Grey district,56,Hearing,15 to 19,2,1,4,21,18,30,840,SDE
Grey district,56,Overall,15 to 19,17,13,21,138,111,174,840,SDE
Grey district,56,Physical,15 to 19,4,2,6,36,24,51,840,SDE
Grey district,56,Psychological,15 to 19,6,4,8,48,33,69,840,SDE
Grey district,56,Vision,15 to 19,1,0,2,9,3,15,840,SDE
Grey district,56,Hearing,20 to 24,4,2,5,27,21,33,751,SDE
Grey district,56,Overall,20 to 24,18,14,23,135,105,168,751,SDE
Grey district,56,Physical,20 to 24,7,4,10,51,36,75,751,SDE
Grey district,56,Psychological,20 to 24,6,4,9,48,33,66,751,SDE
Grey district,56,Vision,20 to 24,2,1,3,12,6,18,751,SDE
Grey district,56,Hearing,25 to 29,4,2,5,24,15,30,660,SDE
Grey district,56,Overall,25 to 29,17,13,21,111,87,138,660,SDE
Grey district,56,Physical,25 to 29,7,4,10,45,30,63,660,SDE
Grey district,56,Psychological,25 to 29,6,4,9,39,27,57,660,SDE
Grey district,56,Vision,25 to 29,2,1,3,12,6,18,660,SDE
Grey district,56,Hearing,30 to 34,4,2,5,24,15,30,649,SDE
Grey district,56,Overall,30 to 34,15,12,20,99,81,126,649,SDE
Grey district,56,Physical,30 to 34,7,5,10,45,33,66,649,SDE
Grey district,56,Psychological,30 to 34,6,4,9,39,27,54,649,SDE
Grey district,56,Vision,30 to 34,1,0,2,9,3,12,649,SDE
Grey district,56,Hearing,35 to 39,4,3,6,30,21,42,764,SDE
Grey district,56,Overall,35 to 39,16,12,20,120,96,153,764,SDE
Grey district,56,Physical,35 to 39,8,5,11,60,42,84,764,SDE
Grey district,56,Psychological,35 to 39,6,4,8,45,30,60,764,SDE
Grey district,56,Vision,35 to 39,1,0,2,9,3,15,764,SDE
Grey district,56,Hearing,40 to 44,6,4,8,63,51,81,1043,SDE
Grey district,56,Overall,40 to 44,21,17,26,219,183,267,1043,SDE
Grey district,56,Physical,40 to 44,11,8,15,114,84,153,1043,SDE
Grey district,56,Psychological,40 to 44,7,5,10,72,51,99,1043,SDE
Grey district,56,Vision,40 to 44,2,1,4,24,18,36,1043,SDE
Grey district,56,Hearing,45 to 49,8,7,11,87,72,105,1024,SDE
Grey district,56,Overall,45 to 49,26,21,32,264,219,321,1024,SDE
Grey district,56,Physical,45 to 49,14,10,18,138,105,183,1024,SDE
Grey district,56,Psychological,45 to 49,7,5,10,75,54,102,1024,SDE
Grey district,56,Vision,45 to 49,5,3,7,48,33,63,1024,SDE
Grey district,56,Hearing,5 to 9,2,1,3,15,9,21,817,SDE
Grey district,56,Overall,5 to 9,13,10,16,105,84,129,817,SDE
Grey district,56,Physical,5 to 9,2,1,3,15,9,24,817,SDE
Grey district,56,Psychological,5 to 9,5,3,7,39,27,54,817,SDE
Grey district,56,Vision,5 to 9,1,0,2,6,3,12,817,SDE
Grey district,56,Hearing,50 to 54,11,9,14,120,99,150,1076,SDE
Grey district,56,Overall,50 to 54,31,26,37,333,282,393,1076,SDE
Grey district,56,Physical,50 to 54,18,14,24,195,150,252,1076,SDE
Grey district,56,Psychological,50 to 54,8,5,11,84,60,114,1076,SDE
Grey district,56,Vision,50 to 54,6,4,8,63,45,81,1076,SDE
Grey district,56,Hearing,55 to 59,14,11,17,135,105,159,957,SDE
Grey district,56,Overall,55 to 59,34,29,41,327,282,387,957,SDE
Grey district,56,Physical,55 to 59,22,17,29,213,165,273,957,SDE
Grey district,56,Psychological,55 to 59,7,4,10,66,45,90,957,SDE
Grey district,56,Vision,55 to 59,5,4,7,54,39,66,957,SDE
Grey district,56,Hearing,60 to 64,17,14,21,144,120,174,835,SDE
Grey district,56,Overall,60 to 64,40,34,47,333,288,387,835,SDE
Grey district,56,Physical,60 to 64,28,22,36,237,189,297,835,SDE
Grey district,56,Psychological,60 to 64,6,4,9,51,36,69,835,SDE
Grey district,56,Vision,60 to 64,5,4,7,45,33,57,835,SDE
Grey district,56,Hearing,65 to 69,22,18,27,150,129,183,694,SDE
Grey district,56,Overall,65 to 69,47,40,54,324,282,372,694,SDE
Grey district,56,Physical,65 to 69,36,28,45,246,198,309,694,SDE
Grey district,56,Psychological,65 to 69,5,3,7,36,24,51,694,SDE
Grey district,56,Vision,65 to 69,6,4,8,39,30,54,694,SDE
Grey district,56,Hearing,70 to 74,24,20,30,126,108,153,521,SDE
Grey district,56,Overall,70 to 74,53,46,61,273,240,315,521,SDE
Grey district,56,Physical,70 to 74,42,33,52,219,174,273,521,SDE
Grey district,56,Psychological,70 to 74,4,2,6,21,12,30,521,SDE
Grey district,56,Vision,70 to 74,6,4,9,33,24,42,521,SDE
Grey district,56,Hearing,75 to 79,32,27,39,114,96,135,354,SDE
Grey district,56,Overall,75 to 79,64,57,73,228,201,258,354,SDE
Grey district,56,Physical,75 to 79,55,45,67,195,159,237,354,SDE
Grey district,56,Psychological,75 to 79,4,2,6,15,9,24,354,SDE
Grey district,56,Vision,75 to 79,9,7,12,33,24,42,354,SDE
Grey district,56,Hearing,80+,43,36,53,171,144,210,395,SDE
Grey district,56,Overall,80+,77,69,86,306,273,339,395,SDE
Grey district,56,Physical,80+,70,58,85,276,228,333,395,SDE
Grey district,56,Psychological,80+,4,2,7,15,9,27,395,SDE
Grey district,56,Vision,80+,17,13,22,69,51,87,395,SDE
Hamilton city,16,Hearing,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Hamilton city,16,Overall,0 to 4,6,5,8,747,615,909,12181,SDE
Hamilton city,16,Physical,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Hamilton city,16,Psychological,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Hamilton city,16,Vision,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Hamilton city,16,Hearing,10 to 14,2,1,3,183,144,246,10249,SDE
Hamilton city,16,Overall,10 to 14,16,13,19,1602,1374,1860,10249,SDE
Hamilton city,16,Physical,10 to 14,2,1,4,252,177,348,10249,SDE
Hamilton city,16,Psychological,10 to 14,7,5,9,678,522,885,10249,SDE
Hamilton city,16,Vision,10 to 14,1,0,2,99,66,150,10249,SDE
Hamilton city,16,Hearing,15 to 19,2,1,4,288,231,363,11762,SDE
Hamilton city,16,Overall,15 to 19,17,14,20,1989,1683,2310,11762,SDE
Hamilton city,16,Physical,15 to 19,5,3,7,537,402,717,11762,SDE
Hamilton city,16,Psychological,15 to 19,6,4,9,723,552,951,11762,SDE
Hamilton city,16,Vision,15 to 19,1,0,2,147,96,219,11762,SDE
Hamilton city,16,Hearing,20 to 24,4,2,5,549,357,669,14512,SDE
Hamilton city,16,Overall,20 to 24,17,14,21,2499,2106,2943,14512,SDE
Hamilton city,16,Physical,20 to 24,7,5,10,993,738,1335,14512,SDE
Hamilton city,16,Psychological,20 to 24,6,4,9,888,666,1179,14512,SDE
Hamilton city,16,Vision,20 to 24,2,1,3,276,186,399,14512,SDE
Hamilton city,16,Hearing,25 to 29,4,2,6,480,345,618,11842,SDE
Hamilton city,16,Overall,25 to 29,17,14,21,2031,1707,2409,11842,SDE
Hamilton city,16,Physical,25 to 29,7,5,10,837,615,1110,11842,SDE
Hamilton city,16,Psychological,25 to 29,7,4,9,774,576,1059,11842,SDE
Hamilton city,16,Vision,25 to 29,2,1,4,243,162,381,11842,SDE
Hamilton city,16,Hearing,30 to 34,4,2,5,393,312,528,10633,SDE
Hamilton city,16,Overall,30 to 34,16,13,19,1686,1443,1959,10633,SDE
Hamilton city,16,Physical,30 to 34,7,5,10,765,579,996,10633,SDE
Hamilton city,16,Psychological,30 to 34,6,4,9,684,522,909,10633,SDE
Hamilton city,16,Vision,30 to 34,1,0,3,159,108,231,10633,SDE
Hamilton city,16,Hearing,35 to 39,4,3,6,399,306,531,9901,SDE
Hamilton city,16,Overall,35 to 39,16,13,19,1557,1299,1839,9901,SDE
Hamilton city,16,Physical,35 to 39,8,6,11,807,612,1044,9901,SDE
